name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,club_id,big_club,new_signing
Alexis Sanchez,Arsenal,28,LW,1,65,4329,12,17.10%,264,3,Chile,1,YES,NO
Mesut Ozil,Arsenal,28,AM,1,50,4395,9.5,5.60%,167,2,Germany,1,YES,NO
Petr Cech,Arsenal,35,GK,4,7,1529,5.5,5.90%,134,2,Czech Republic,1,YES,NO
Theo Walcott,Arsenal,28,RW,1,20,2393,7.5,1.50%,122,1,England,1,YES,NO
Laurent Koscielny,Arsenal,31,CB,3,22,912,6,0.70%,121,2,France,1,YES,NO
Hector Bellerin,Arsenal,22,RB,3,30,1675,6,13.70%,119,2,Spain,1,YES,NO
Olivier Giroud,Arsenal,30,CF,1,22,2230,8.5,2.50%,116,2,France,1,YES,NO
Nacho Monreal,Arsenal,31,LB,3,13,555,5.5,4.70%,115,2,Spain,1,YES,NO
Shkodran Mustafi,Arsenal,25,CB,3,30,1877,5.5,4.00%,90,2,Germany,1,YES,YES
Alex Iwobi,Arsenal,21,LW,1,10,1812,5.5,1.00%,89,4,Nigeria,1,YES,NO
Granit Xhaka,Arsenal,24,DM,2,35,1815,5.5,2.00%,85,2,Switzerland,1,YES,NO
Alex Oxlade-Chamberlain,Arsenal,23,RM,2,22,1519,6,1.80%,83,1,England,1,YES,NO
Jack Wilshere,Arsenal,25,CM,2,18,1759,5.5,0.00%,61,1,England,1,YES,NO
Aaron Ramsey,Arsenal,26,CM,2,35,1040,7,5.10%,56,1,Wales,1,YES,NO
Francis Coquelin,Arsenal,26,DM,2,15,549,4.5,1.70%,52,2,France,1,YES,NO
Gabriel Paulista,Arsenal,26,CB,3,13,552,5,0.10%,45,3,Brazil,1,YES,NO
Kieran Gibbs,Arsenal,27,LB,3,10,489,5,0.50%,45,1,England,1,YES,NO
Santi Cazorla,Arsenal,32,CM,2,12,943,7,0.10%,38,2,Spain,1,YES,NO
Danny Welbeck,Arsenal,26,CF,1,15,1521,7.5,0.50%,37,1,England,1,YES,NO
Rob Holding,Arsenal,21,CB,3,7,666,5,1.70%,32,1,England,1,YES,YES
Mohamed Elneny,Arsenal,25,DM,2,10,683,4.5,0.80%,26,4,Egypt,1,YES,NO
Lucas Perez,Arsenal,28,CF,1,15,2055,7.5,0.10%,20,2,Spain,1,YES,YES
